"drug","gene"
"SYMBICORT","AR"
"PULMICORT FLEXHALER","AR"
"Pulmicort","AR"
"S-1320","AR"
"ENTOCORT EC","AR"
"Cortiment","AR"
"Pulmaxan","AR"
"RHINOCORT AQUA","AR"
"PREFERID","AR"
"Budesonide","AR"
"Aircort","AR"
"Entocort","AR"
"RHINOCORT","AR"
"U-67590A","AR"
"MEDROL","AR"
"Medrone","AR"
"U-67,590A","AR"
"Methylprednisolone","AR"
"ALCLOMETASONE","AR"
"ALCLOMETASONE DIPROPIONATE","AR"
"SCH 22219","AR"
"MODRASONE","AR"
"Aclovate","AR"
"PF-04171327","AR"
"FOSDAGROCORAT","AR"
"Hytone","AR"
"Stie-Cort","AR"
"Ala-Scalp","AR"
"Hydrocortone","AR"
"Dermaspray Demang","AR"
"TIMODINE","AR"
"Canesten HC","AR"
"EFCORTELAN P","AR"
"Hc #4","AR"
"Nutracort","AR"
"NYBADEX","AR"
"Perinal","AR"
"Epicort","AR"
"BETA-HC","AR"
"Cort-Dome","AR"
"Cortenema","AR"
"Hydrocort In Wte Soft Paraf","AR"
"Exe-Cort","AR"
"Anflam","AR"
"AEROSEB-HC","AR"
"COLOCORT","AR"
"HYDROCORT IN CETOMACROGOL FOR A","AR"
"Nogenic hc","AR"
"CORTENEM","AR"
"Cipro HC","AR"
"Terra-Cortril Nystatin","AR"
"Anusol hc","AR"
"MEDICORT","AR"
"OTOSEPTIL","AR"
"Hydroderm HC","AR"
"OTOSPORIN","AR"
"UNIROID HC","AR"
"Cor-Oticin","AR"
"Tri-Cicatrin","AR"
"Alphaderm","AR"
"CORTEF","AR"
"Eurax-Hc","AR"
"Germoloids HC","AR"
"DERMA CARE HYDROCORT","AR"
"Anusol Plus HC","AR"
"Cortril","AR"
"Anugesic HC","AR"
"DAKTACORT","AR"
"HC #1","AR"
"Proctosedyl","AR"
"EVACORT","AR"
"Proctocream HC","AR"
"DERMACORT","AR"
"XYLOPROCT","AR"
"ZENOXONE","AR"
"BALNEOL-HC","AR"
"Locoid","AR"
"HYDRO-RX","AR"
"Hydrocortisone","AR"
"Topisone","AR"
"HC45","AR"
"MILDISON LIPOCREAM","AR"
"PROCTOFOAM HC","AR"
"GREGODERM","AR"
"Hi-Cor","AR"
"FLEXICORT","AR"
"Glycort","AR"
"PROCTOCORT","AR"
"Eurax-Hydrocort","AR"
"Sential HC","AR"
"Ala-Cort","AR"
"Anucort-HC","AR"
"Synacort","AR"
"CORTISOL","AR"
"ECONACORT","AR"
"ACTICORT","AR"
"UNIROID","AR"
"NYSTAFORM-HC","AR"
"Dioderm","AR"
"Cortifoam","AR"
"H-CORT","AR"
"HYDROCORT IN CALAMINE OILY","AR"
"PENECORT","AR"
"Hc (hydrocortisone)","AR"
"Daktacort Hydrocort","AR"
"ELDECORT","AR"
"Hydroderm","AR"
"Cetacort","AR"
"DOME-CORT","AR"
"Texacort","AR"
"Neo-Cortef","AR"
"U-Cort","AR"
"CORLAN","AR"
"Quinocort","AR"
"Hydrocortisone In Absorbase","AR"
"PLENADREN","AR"
"Micort-HC","AR"
"Timocort","AR"
"ACETASOL HC","AR"
"JUNGLE FOR","AR"
"Ophthocort","AR"
"Cobadex","AR"
"Terra-Cortril","AR"
"Calmurid HC","AR"
"ANUSOL SOOTHING RELIEF","AR"
"BETAMETHASONE BENZOATE","AR"
"W-5975","AR"
"UTICORT","AR"
"ZK 245186","AR"
"BOL-303242-X","AR"
"Mapracorat","AR"
"PF-00251802","AR"
"DAGROCORAT","AR"
"DepMedalone","AR"
"DEPO-MEDRONE","AR"
"Medrol Acetate","AR"
"DEPO-MEDROL","AR"
"METHYL PREDNISOLONE ACETATE","AR"
"METHYLPREDNISOLONE ACETATE","AR"
"M-predrol","AR"
"NEO-MEDRONE","AR"
"Westcort","AR"
"HYDROCORTISONE VALERATE","AR"
"Meprednisone","AR"
"BETAPAR","AR"
"SCH 4358","AR"
"CORT 108297","AR"
"LOTEMAX","AR"
"P-5604","AR"
"Loteprednol","AR"
"Airex","AR"
"CDDD-5604","AR"
"Loteprednol Etabonate","AR"
"Alrex","AR"
"HGP-1","AR"
"SERNIVO","AR"
"Alphatrex","AR"
"DIPROSONE","AR"
"BETAMETHASONE DIPROPIONATE","AR"
"Diprolene","AR"
"SCH 11460","AR"
"Diprolene Af","AR"
"Stiedex","AR"
"DESOXIMETASONE","AR"
"TOPICORT","AR"
"HOE-304","AR"
"A-41-304","AR"
"STIEDEX LP","AR"
"R 2113","AR"
"TOPICORT LP","AR"
"STIEDEX LPN","AR"
"ORG-34517","AR"
"SCH 900636","AR"
"REMIDERM","AR"
"TRIVARIS","AR"
"Nasacort Aq","AR"
"Pevaryl T.C.","AR"
"AUREOCORT","AR"
"Oralone","AR"
"Aristocort A","AR"
"TRIACORT","AR"
"Kenacourt","AR"
"Kenalog","AR"
"TRIATEX","AR"
"Flutex","AR"
"ZILRETTA","AR"
"Oracort","AR"
"NASACORT HFA","AR"
"Tri-Nasal","AR"
"Aristogel","AR"
"Azmacort","AR"
"TRYMEX","AR"
"Remotic","AR"
"NASACORT","AR"
"KENALOG IN ORABASE","AR"
"Kenalog-H","AR"
"Gppe Ear Oint","AR"
"TRIAMCINOLONE ACETONIDE IN ABSORBASE","AR"
"Audicort","AR"
"TRIAMCINOLONE ACETONIDE","AR"
"SILDERM","AR"
"Kenalog-40","AR"
"Adcortyl In Orabase","AR"
"Triacet","AR"
"ARISTOCORT","AR"
"ADCORTYL","AR"
"KENACORT","AR"
"NYSTADERMAL","AR"
"Nasacort allergy 24 hour","AR"
"Triderm","AR"
"Allernaze","AR"
"Triesence","AR"
"Vetalog","AR"
"TRI-ADCORTYL","AR"
"Kenalog-10","AR"
"Gppe Ear Dps Cap","AR"
"PARAMETHASONE ACETATE","AR"
"Haldrone","AR"
"PARAMETHASONE","AR"
"HYDROXYMESTERONE","AR"
"Medrysone","AR"
"Hms","AR"
"U-8471","AR"
"PREDNISONE INTENSOL","AR"
"LODOTRA","AR"
"CORTANCYL","AR"
"PARACORT","AR"
"DELTASONE","AR"
"PREDNICEN-M","AR"
"DELTA-DOME","AR"
"Decortisyl","AR"
"CORTAN","AR"
"FERNISONE","AR"
"Liquid Pred","AR"
"Orasone","AR"
"METICORTEN","AR"
"Sterapred","AR"
"RAYOS","AR"
"PREDNISONE","AR"
"Servisone","AR"
"HC45 HYDROCORT","AR"
"FRAMYCORT","AR"
"Cortucid","AR"
"Hemsol-Hc","AR"
"Colifoam","AR"
"GPPE FOAM AERO","AR"
"Hydrocortisone Acetate","AR"
"Cortef Acetate","AR"
"DRICORT","AR"
"EPIFOAM","AR"
"Hydrocal","AR"
"Barquinol HC","AR"
"Fucidin H","AR"
"Chloromycetin Hydrocort","AR"
"Orabase Hca","AR"
"GENTICIN HC","AR"
"Hepacort Plus","AR"
"GPPE EAR SUSP","AR"
"Lanacort","AR"
"Gentisone HC","AR"
"GPPE EYE CRM","AR"
"Dexone 4","AR"
"DEXSOL","AR"
"Decaspray","AR"
"DEXAMETHASONE INTENSOL","AR"
"Dexacortisyl","AR"
"DECADRON","AR"
"Maxitrol","AR"
"DEXONE 0.5","AR"
"Hexadrol","AR"
"SPERSADEX COMP","AR"
"DEXONE 0.75","AR"
"MAXIDEX","AR"
"DEXAMETHASONE PALMITATE","AR"
"Otomize","AR"
"GPPE EAR SPY","AR"
"Sofradex","AR"
"OZURDEX","AR"
"DECADRON-75","AR"
"MARTAPAN","AR"
"Dexamethasone Valerate","AR"
"Dexacen-4","AR"
"Decadron-LA","AR"
"DEXAMETHASONE METASULFOBENZOATE SODIUM","AR"
"DECADERM","AR"
"DEXONE 1.5","AR"
"ORADEXON","AR"
"Aeroseb-Dex","AR"
"FLUORMETHYLPREDNISOLONE","AR"
"Mymethasone","AR"
"Dexamethasone","AR"
"Neodecadron","AR"
"DROPODEX","AR"
"TOBRADEX","AR"
"Dalalone","AR"
"Dexair","AR"
"Dexone","AR"
"DEXAFREE","AR"
"Dexacort","AR"
"Kortico Injection","AR"
"HYDROCORTISONE SODIUM SUCCINATE","AR"
"Hcss","AR"
"Solu-Cortef","AR"
"A-Hydrocort","AR"
"CORTATE","AR"
"CORTELAN","AR"
"Cortisone","AR"
"Cortisone acetate","AR"
"Cortisyl","AR"
"CORTONE","AR"
"Cortistab","AR"
"VALISONE","AR"
"Betameth Val Oint0.025% 50%CoalTar","AR"
"BETA-VAL","AR"
"Audavate RD","AR"
"BETADERM","AR"
"Valnac","AR"
"BETATREX","AR"
"Betameth Val Oint 0.1% 50% CoalTar","AR"
"Luxiq","AR"
"Bettamousse","AR"
"Betamethasone valerate","AR"
"BETNOVATE RD","AR"
"XEMACORT","AR"
"BETESIL","AR"
"Dermabet","AR"
"Betameth Val Oint 0.1% 25%Coal Tar","AR"
"BETACAP","AR"
"FUCIBET","AR"
"Betnovate-C","AR"
"Bextasol","AR"
"Betameth Val 0.1% 50% In Emulsif","AR"
"Betnovate-N","AR"
"Betameth Val In Coal Tar","AR"
"AUDAVATE","AR"
"HYDROCORTISONE BUTYRATE","AR"
"LOCOID CRELO","AR"
"Locoid Lipocream","AR"
"LOCOID C","AR"
"Hydrocortisone Sodium Phosphate","AR"
"Efcortesol","AR"
"MOMETASONE","AR"
"Mometasone furoate monohydrate","AR"
"NASONEX","AR"
"Asmanex","AR"
"SCH-32088","AR"
"ASMANEX HFA","AR"
"MOMETASONE FUROATE","AR"
"ELOCON","AR"
"ASMANEX TWISTHALER","AR"
"Mifeprex","AR"
"KORLYM","AR"
"Mifepristone","AR"
"RU-38486","AR"
"RU 486","AR"
"Mifegyne","AR"
"Flumethasone Pivalate","AR"
"Locorten","AR"
"Locorten-Vioform","AR"
"FLUMETASONE PIVALATE","AR"
"CGP-14,458","AR"
"BMY-30056","AR"
"Ulobetasol","AR"
"Halobetasol Propionate","AR"
"Ultravate","AR"
"CGP-14458","AR"
"Clocortolone Pivalate","AR"
"SH 863","AR"
"Cloderm","AR"
"ORG-6216","AR"
"RIMEXOLONE","AR"
"VEXOL","AR"
"Flarex","AR"
"U-17,323","AR"
"U-17323","AR"
"FLUOROMETHOLONE ACETATE","AR"
"Cortivazol","AR"
"Altim","AR"
"U-34865","AR"
"PSORCON E","AR"
"Florone","AR"
"Florone E","AR"
"PSORCON","AR"
"DIFLORASONE DIACETATE","AR"
"Diflorasone","AR"
"U-34,865","AR"
"TRIAMCINOLONE DIACETATE","AR"
"Orion","AR"
"Tedarol","AR"
"Polcortolon","AR"
"Halog-E","AR"
"Halog","AR"
"SO-18566","AR"
"SQ-18566","AR"
"HALCINONIDE","AR"
"Alphadrol","AR"
"FLUPREDNISOLONE","AR"
"U-7800","AR"
"TRIAMCINOLONE","AR"
"Volon","AR"
"FLUOXIPREDNISOLONE","AR"
"Delphicort","AR"
"SCH-4831","AR"
"BETNELAN","AR"
"Celestone","AR"
"Lotrisone","AR"
"Betamethasone","AR"
"Betasolan","AR"
"Flubenisolone","AR"
"Taclonex","AR"
"GW685698X","AR"
"Fluticasone fuorate ","AR"
"Avamys","AR"
"Arnuity ellipta","AR"
"FLONASE SENSIMIST ALLERGY RELIEF","AR"
"VERAMYST","AR"
"FLUTICASONE FUROATE","AR"
"Hydrocortisone Buteprate","AR"
"Hydrocortisone Butyrate Propionate","AR"
"Hydrocortisone Probutate","AR"
"TS 408","AR"
"Pandel","AR"
"ARISTOSPAN","AR"
"CL-34433","AR"
"Triamcinolone Hexacetonide","AR"
"Lederspan","AR"
"TATBA","AR"
"Fluorometholone","AR"
"Fml-Neo","AR"
"FLUOR-OP","AR"
"FML FORTE","AR"
"FML FTE","AR"
"OXYLONE","AR"
"FML","AR"
"FLUATON","AR"
"Hydrocortisone cipionate","AR"
"Hydrocortisone Cyclopentylpropionate","AR"
"Hydrocortisone cypionate","AR"
"DERMATOP E EMOLLIENT","AR"
"HOE 777","AR"
"S 77 0777","AR"
"Dermatop","AR"
"PREDNICARBATE","AR"
"S-770777","AR"
"DEXAMETHASONE SODIUM PHOSPHATE","AR"
"Zamene","AR"
"Calcort","AR"
"MDL 458","AR"
"Deflazacort","AR"
"Emflaza","AR"
"PREDNISOLONE TEBUTATE","AR"
"HYDELTRA-TBA","AR"
"Prednisolone Butylacetate","AR"
"OLUX E","AR"
"CLARELUX","AR"
"CORMAX","AR"
"CLOBEX","AR"
"Clobetasol Propionate (Emollient)","AR"
"CLOBADERM","AR"
"CLOBETASOL","AR"
"Impoyz","AR"
"CCI 4725","AR"
"TEMOVATE E","AR"
"Dermovate NN","AR"
"TEMOVATE","AR"
"Embeline","AR"
"DERMOVATE","AR"
"CLOBETASOL PROPIONATE","AR"
"Embeline E","AR"
"OLUX","AR"
"Etrivex","AR"
"GR 2/925","AR"
"Vistamethasone","AR"
"BETNESOL","AR"
"BETAMETHASONE SODIUM PHOSPHATE","AR"
"BETNESOL-N","AR"
"VISTAMETHASONE N","AR"
"BETAM-OPHTAL","AR"
"Dexamethasone acetate","AR"
"Cortalone","AR"
"DELTA-CORTEF","AR"
"Precortisyl Fte","AR"
"Dilacort","AR"
"Fernisolone-P","AR"
"METI-DERM","AR"
"Prednisolone","AR"
"Meticortelone","AR"
"PEVANTI","AR"
"PRECORTISYL","AR"
"Pred-G","AR"
"Prelone","AR"
"Tridesilon","AR"
"Deltalone","AR"
"Verdeso","AR"
"Poly-Pred","AR"
"Neo-Delta-Cortef","AR"
"Hydeltra","AR"
"STERANE","AR"
"DEKOTIL","AR"
"DELTACORTRIL","AR"
"Desowen","AR"
"Scheriproct","AR"
"Econopred","AR"
"PRED FTE","AR"
"PRED MILD","AR"
"PREDNISOLONE ACETATE","AR"
"OMNIPRED","AR"
"Flo-Pred","AR"
"Pred Forte","AR"
"Ultracortenol","AR"
"PEDIAPRED","AR"
"CODELSOL","AR"
"Orapred","AR"
"Predsol","AR"
"Predair Forte","AR"
"Hydeltrasol","AR"
"METRETON","AR"
"PREDAIR","AR"
"Cortisate","AR"
"Prednisolone Sodium Phosphate","AR"
"PREDSOL-N","AR"
"Inflamase Mild","AR"
"INFLAMASE FORTE","AR"
"Orapred Odt","AR"
"Inflamase","AR"
"Cyclocort","AR"
"Amcinonide","AR"
"CL-34699","AR"
"CORDRAN","AR"
"FLURANDRENOLONE","AR"
"FLURANDRENOLIDE","AR"
"HAELAN-X","AR"
"FLUDROXICORTIDE","AR"
"Haelan","AR"
"Cordran Sp","AR"
"Fludroxycortide","AR"
"HAELAN-C","AR"
"33379","AR"
"Desonate","AR"
"DESONIDE","AR"
"D2083","AR"
"Hydrocortamate HCl","AR"
"Magnacort","AR"
"Hydrocortamate chloride","AR"
"HYDROCORTAMATE HYDROCHLORIDE","AR"
"MIN-I-MIX","AR"
"Solu-Medrone","AR"
"Methylprednisolone Sodium Succinate","AR"
"Urbasone","AR"
"A-METHAPRED","AR"
"SOLU-MEDROL","AR"
"Betamethasone Acetate","AR"
"DIFLUPREDNATE","AR"
"W-6309","AR"
"Durezol","AR"
"Alvesco 160","AR"
"Omnaris","AR"
"Alvesco","AR"
"CICLESONIDE","AR"
"Alvesco 80","AR"
"RPR251526","AR"
"ZETONNA","AR"
"FILAIR 100","AR"
"Becodisks","AR"
"Beclazone 100 E-Breathe","AR"
"BECLOMETASONE","AR"
"VANCENASE POCKETHALER","AR"
"BECLOVENT","AR"
"Fostair","AR"
"SCH-18020W","AR"
"BECLOFORTE E-BREATHE","AR"
"BECOTIDE 200","AR"
"PROPADERM FTE","AR"
"BECLOMETHASONE DIPROPIONATE MONOHYDRATE","AR"
"Becotide","AR"
"BECLOFORTE INTEGRA","AR"
"Qvar 100","AR"
"Propaderm-C","AR"
"Beclomet Hayfever","AR"
"QVAR 80","AR"
"FILAIR 50","AR"
"QVAR 50","AR"
"Beclazone 100","AR"
"Becotide 50 E-Breathe","AR"
"Qvar 50 E-Breathe","AR"
"FOSTAIR NEXTHALER","AR"
"BECLAZONE 50 E-BREATHE","AR"
"BECLAZONE 50","AR"
"Nasobec Aq","AR"
"Beclotaide","AR"
"Clipper","AR"
"Becotide 50","AR"
"BECLOFORTE-VM","AR"
"BECLOMETHASONE DIPROPIONATE","AR"
"BECLOMIST","AR"
"Zonivent Aquanasal","AR"
"BECLOMETHASONE","AR"
"BECLAZONE 250 E-BREATHE","AR"
"BECOTIDE 100 E-BREATHE","AR"
"BECLOMET DIPROP","AR"
"BECLOFORTE","AR"
"Asmabec Clickhaler","AR"
"PROPADERM","AR"
"QVAR 100 E-BREATHE","AR"
"Qnasl","AR"
"Becloaqua 50","AR"
"Becotide 100","AR"
"Vancenase Aq","AR"
"VANCERIL","AR"
"Filair Fte","AR"
"Qvar redihaler","AR"
"VENTIDE","AR"
"VANCENASE","AR"
"Aerobec 50","AR"
"Beclazone 250","AR"
"Aerobec Fte 250","AR"
"PROPADERM-A","AR"
"Qvar 40","AR"
"RINO CLENIL","AR"
"AEROBEC 100","AR"
"PULVINAL BECLOMET","AR"
"Beconase aq","AR"
"ASMABEC SPACEHALER","AR"
"Vivabec","AR"
"BECONASE","AR"
"Vanceril Double Strength","AR"
"BECLOMETASONE DIPROPIONATE","AR"
"Nasobec Hayfever","AR"
"CLENIL MODULITE","AR"
"Beclazone 200","AR"
"BEECHAM COUGHCAPS","AR"
"Delsym","AR"
"ST","AR"
"FRANOLYN SED","AR"
"TUSSABRON","AR"
"Franolyn Dry","AR"
"Dextromethorphan Hydrobromide","AR"
"Romilar","AR"
"BRONTYL","AR"
"PEDIACARE 1","AR"
"Dextromethorphan Hydrobromide Monohydrate","AR"
"Tuxium","AR"
"BENYLIN DM","AR"
"CONTAC COUGHCAPS","AR"
"Dextromethorphan Hydrobromide OROS Tablets","AR"
"DRIXORAL COUGH","AR"
"CHEMBL1972","AR"
"Dextromethorphan polistirex","AR"
"Afacifenacin","AR"
"SMP-986","AR"
"NS-986","AR"
"CHEMBL5451","AR"
"DSP-2230","AR"
"Cincaine Chloride","AR"
"Dibucaine HCl","AR"
"Heavy Solution Nupercaine","AR"
"DIBUCAINE HYDROCHLORIDE","AR"
"NUPERCAINAL","AR"
"CINCHOCAINE HYDROCHLORIDE","AR"
"Nupercaine","AR"
"Cinchocaine HCl","AR"
"PF-04531083","AR"
"Indecainide HCl","AR"
"Decabid","AR"
"LY-135837","AR"
"Ricainide","AR"
"INDECAINIDE HYDROCHLORIDE","AR"
"CHEMBL2331043","AR"
"Dyclocaine","AR"
"Dyclonine HCl","AR"
"Dyclone","AR"
"Dyclonine hydrochloride","AR"
"Novocain","AR"
"Pasconeural N","AR"
"PROCAINE HYDROCHLORIDE","AR"
"Procaine HCl","AR"
"Etidocaine hydrochloride","AR"
"DURANEST","AR"
"Etidocaine HCl","AR"
"METHOIN","AR"
"Mesantoin","AR"
"MEPHENYTOIN","AR"
"RYTHMOL","AR"
"PROPAFENONE HYDROCHLORIDE","AR"
"RYTMONORM","AR"
"Rythmol Sr","AR"
"Propafenone HCl","AR"
"Arythmol","AR"
"NW-3509","AR"
"CI-912","AR"
"ZONEGRAN","AR"
"AD-810","AR"
"Zonisamide","AR"
"PD-110843","AR"
"Topamax","AR"
"Trokendi XR","AR"
"Topamax Sprinkle","AR"
"TOPIRAMATE","AR"
"Epitomax","AR"
"RWJ-17021","AR"
"MCN-4853","AR"
"Qudexy XR","AR"
"OXYBUPROCAINE HYDROCHLORIDE","AR"
"BENOXINATE HYDROCHLORIDE","AR"
"Oxibuprocaine Chloride","AR"
"Benoxinate HCl","AR"
"Oxybuprocaine HCl","AR"
"SEPTOCAINE","AR"
"Ultracaine","AR"
"Septanest","AR"
"40 045","AR"
"HOE-045","AR"
"Articaine HCl","AR"
"ARTICAINE HYDROCHLORIDE","AR"
"Dirythmin-SA","AR"
"ISOMIDE CR","AR"
"RYTHMODAN RET","AR"
"Disopyramide Phosphate","AR"
"Norpace","AR"
"SC-13957","AR"
"Dirythmin","AR"
"NORPACE CR","AR"
"Chloroprocaine hydrochloride","AR"
"Ampres","AR"
"NESACAINE-MPF","AR"
"Chlorprocaine Chloride","AR"
"Nesacaine","AR"
"Chloroprocaine HCl","AR"
"CLOROTEKAL","AR"
"SCANDONEST PLAIN","AR"
"MEPIVACAINE HYDROCHLORIDE","AR"
"Scandicaine","AR"
"SCANDONEST","AR"
"ISOCAINE HYDROCHLORIDE","AR"
"Isocaine HCl","AR"
"CARBOCAINE","AR"
"Mepivacaine HCl","AR"
"POLOCAINE","AR"
"POLOCAINE-MPF","AR"
"ARESTOCAINE HYDROCHLORIDE","AR"
"Arestocaine HCl","AR"
"Oraqix","AR"
"Xylotox","AR"
"Vagisil","AR"
"Anestacon","AR"
"XYLODASE","AR"
"LIDOCAINE","AR"
"DENTIPATCH","AR"
"Lidopen","AR"
"LIGNOCAINE","AR"
"ALPHACAINE","AR"
"Embolex","AR"
"XYLOCAINE","AR"
"Lignocaine Hcl","AR"
"LIDODERM","AR"
"Octocaine","AR"
"Iontocaine","AR"
"Lidocaton","AR"
"Lignostab","AR"
"LMX 4","AR"
"Xylocaine preservative free","AR"
"MEDIJEL","AR"
"Denela","AR"
"XYLOCAINE VISCOUS","AR"
"Germoloids Complete","AR"
"AKTEN","AR"
"GLYDO","AR"
"Lignostab A 100","AR"
"Germoloids","AR"
"Lido HCL","AR"
"Lignostab N","AR"
"Emla","AR"
"Laryng-O-Jet Kit","AR"
"Rexocaine","AR"
"ALPHACAINE HYDROCHLORIDE","AR"
"Laryngotracheal Anesthesia Kit","AR"
"XYLOCAINE DENTAL","AR"
"BRADOSOL PLUS","AR"
"LARYNGOJET","AR"
"Versatis","AR"
"PREPARATION H","AR"
"LTA II Kit","AR"
"INSTILLAGEL","AR"
"ZINGO","AR"
"DEQUASPRAY","AR"
"LIDOCAINE HYDROCHLORIDE","AR"
"Xylotox E80","AR"
"Oragard","AR"
"PEDIATRIC LTA KIT","AR"
"LIDOCAINE HYDROCHLORIDE VISCOUS","AR"
"LIGNOSPAN SPECIAL","AR"
"Lidocaine HCl","AR"
"Alphacaine HCl","AR"
"Lignokent","AR"
"Iglu","AR"
"Calgel","AR"
"ANODESYN","AR"
"LIDOCAINE VISCOUS","AR"
"LIGNOSTAB-A","AR"
"Co-Phenylcaine Fte","AR"
"Hemocane","AR"
"BISMODYNE","AR"
"LIGNOCAINE HYDROCHLORIDE","AR"
"PRILOCAINE","AR"
"Citanest","AR"
"Cardioquin","AR"
"Quinidine polygalacturonate","AR"
"Propitocaine HCl","AR"
"CITANEST PLAIN DENTAL","AR"
"ASTRA 1512","AR"
"Citanest Plain","AR"
"PRILOCAINE HYDROCHLORIDE","AR"
"Prilocaine HCl","AR"
"PROPITOCAINE HYDROCHLORIDE","AR"
"L-67","AR"
"Propoxycaine Hydrochloride","AR"
"BLOCKAIN HYDROCHLORIDE","AR"
"Ravocaine HCl","AR"
"Propoxycaine HCl","AR"
"Blockain HCl","AR"
"RAVOCAINE HYDROCHLORIDE","AR"
"QUINIDINE GLUCONATE","AR"
"Quinaglute","AR"
"QUINACT","AR"
"DURAQUIN","AR"
"Quinatime","AR"
"Quinalan","AR"
"PROCAINE MERETHOXYLLINE","AR"
"Merethoxylline Procaine","AR"
"MJ-9067-1","AR"
"ENCAINIDE HYDROCHLORIDE","AR"
"MJ 9067-1","AR"
"Encainide HCl","AR"
"ENKAID","AR"
"SR-33598B","AR"
"Dronedarone HCl","AR"
"DRONEDARONE HYDROCHLORIDE","AR"
"MULTAQ","AR"
"Phenacemide","AR"
"PHENURONE","AR"
"NKTR-171","AR"
"Dichlorobenzyl alcohol","AR"
"Ethmozine","AR"
"MORACIZINE HYDROCHLORIDE","AR"
"Moricizine HCl","AR"
"MORICIZINE HYDROCHLORIDE","AR"
"TETRACAINE HYDROCHLORIDE","AR"
"ANETHAINE","AR"
"PONTOCAINE HYDROCHLORIDE","AR"
"Tetracaine HCl","AR"
"AMETHOCAINE HYDROCHLORIDE","AR"
"LOCAN","AR"
"Pontocaine HCl","AR"
"Amethocaine HCl","AR"
"Orphenadrine (citrate)","AR"
"Orphenadrine Citrate","AR"
"Norflex","AR"
"Orphenadine Citrate","AR"
"Mexitil","AR"
"KO-1173-Cl","AR"
"KO-1173 CL","AR"
"Mexiletine HCl","AR"
"MEXITIL P.L.","AR"
"KO 1173 CL","AR"
"MEXILETINE HYDROCHLORIDE","AR"
"Paracaine","AR"
"KAINAIR","AR"
"OPHTHAINE","AR"
"PROPARACAINE HYDROCHLORIDE","AR"
"PROXYMETACAINE","AR"
"Alcaine","AR"
"Proparacaine HCl","AR"
"Ophthetic","AR"
"OXCARBAZEPINE","AR"
"Trileptal","AR"
"Oxtellar Xr","AR"
"GP-47680","AR"
"KIN-493","AR"
"Hydantol","AR"
"DIPHENYLHYDANTOIN","AR"
"Dilantin-125","AR"
"Dilabid","AR"
"Phentytoin","AR"
"DILANTIN","AR"
"Phenytek","AR"
"Phenytoin","AR"
"DILANTIN-30","AR"
"Phenytex","AR"
"Lamictal Xr","AR"
"LAMICTAL ODT","AR"
"Lamictal Cd","AR"
"BW 430C","AR"
"Lamictal","AR"
"LAMOTRIGINE","AR"
"Neurosyn","AR"
"MYSOLINE","AR"
"Liskantin","AR"
"Lepsiral","AR"
"PRIMIDONE","AR"
"ETHOTOIN","AR"
"PEGANONE","AR"
"Epimaz","AR"
"EPITOL","AR"
"CARBAMAZEPINE","AR"
"Timonil 200 Ret","AR"
"Tegretol","AR"
"TEGRETOL PROLONGED RELEASE","AR"
"SIRTAL RET","AR"
"Epimaz Ret","AR"
"Equetro","AR"
"Teril","AR"
"Teril Ret","AR"
"G-32883","AR"
"Tegretol Chewtab","AR"
"TIMONIL 400 RET","AR"
"Tegretol Xr","AR"
"CARBATROL","AR"
"CARNEXIV","AR"
"ARBIL MR","AR"
"Carbagen SR","AR"
"HP-184","AR"
"Nerispirdine","AR"
"CYCLAINE","AR"
"HEXYLCAINE HYDROCHLORIDE","AR"
"Hexylcaine HCl","AR"
"CEREBYX","AR"
"Pro-Epanutin","AR"
"FOSPHENYTOIN SODIUM","AR"
"CI-982","AR"
"ACC-9653-010 (SODIUM SALT)","AR"
"ACC-9653-010","AR"
"PENTRAN","AR"
"Extended Phenytoin Sodium","AR"
"Phenytoin Sodium","AR"
"PROMPT PHENYTOIN SODIUM","AR"
"Diphenylhydantoin Sodium","AR"
"DIPHENYLAN SODIUM","AR"
"AMETHOCAINE","AR"
"Dicaine","AR"
"AMETOP","AR"
"Pontocaine","AR"
"Medihaler-Tetracaine","AR"
"Metraspray","AR"
"Tetracaine","AR"
"LACOSAMIDE","AR"
"SPM-927","AR"
"Vimpat","AR"
"ERLOSAMIDE","AR"
"ADD 243037","AR"
"BIIR-561 CL","AR"
"IRAMPANEL","AR"
"BIIR-561","AR"
"Banzel","AR"
"RUF-331","AR"
"E2080","AR"
"INOVELON","AR"
"RUFINAMIDE","AR"
"CGP 33101","AR"
"60231/4","AR"
"Naropin","AR"
"NARAPIN","AR"
"Ropivacaine HCl","AR"
"ROPIVACAINE HYDROCHLORIDE","AR"
"ESLICARBAZEPINE","AR"
"Stedesa","AR"
"PAZZUL","AR"
"ERELIB","AR"
"BIA-2-194","AR"
"BIA 2-194","AR"
"ZEBINIX","AR"
"SEP-0002093","AR"
"Eslicarbazepine Acetate","AR"
"Aptiom","AR"
"BIA 2-093","AR"
"SEP - 0002093","AR"
"BIA-2-093","AR"
"RALFINAMIDE","AR"
"NW-1029","AR"
"Priralfinamide","AR"
"PNU-0154339E","AR"
"FCE-26742A","AR"
"Quinicardine","AR"
"QUINIDEX","AR"
"Quinidine Sulfate","AR"
"QUINORA","AR"
"Cin-Quin","AR"
"PROCAPAN","AR"
"PROCAINAMIDE HYDROCHLORIDE","AR"
"PROCAN SR","AR"
"PRONESTYL","AR"
"PROCAN","AR"
"PRONESTYL-SR","AR"
