"Drug","Gene","Disease"
"CHEMBL2364167","IL2RA","UNIPOLAR DEPRESSION"
"DACLIZUMAB","IL2RA","UNIPOLAR DEPRESSION"
"ZENAPAX","IL2RA","UNIPOLAR DEPRESSION"
"Ro-24-7375","IL2RA","UNIPOLAR DEPRESSION"
"DENILEUKIN DIFTITOX","IL2RA","UNIPOLAR DEPRESSION"
"Satralizumab","IL6R","SCHIZOPHRENIA"
"CHEMBL3137266","IL6R","SCHIZOPHRENIA"
"CSL-360","IL6R","SCHIZOPHRENIA"
"CHEMBL3712987","IL6R","SCHIZOPHRENIA"
"Sarilumab","IL6R","SCHIZOPHRENIA"
"Tocilizumab","IL6R","SCHIZOPHRENIA"
"Tagraxofusp","IL6R","SCHIZOPHRENIA"
"Kevzara","IL6R","SCHIZOPHRENIA"
"SAR-153191","IL6R","SCHIZOPHRENIA"
"REG-N88","IL6R","SCHIZOPHRENIA"
"IL13-PE38","IL6R","SCHIZOPHRENIA"
"CINTREDEKIN BESUDOTOX","IL6R","SCHIZOPHRENIA"
"Myfenax","IMPDH1","UNIPOLAR DEPRESSION"
"Mycophenolate mofetil","IMPDH1","UNIPOLAR DEPRESSION"
"CHEMBL2111369","IMPDH1","UNIPOLAR DEPRESSION"
"Mycophenolate Mofetil HCl","IMPDH1","UNIPOLAR DEPRESSION"
"MYCOPHENOLATE MOFETIL HYDROCHLORIDE","IMPDH1","UNIPOLAR DEPRESSION"
"RS-61443-190","IMPDH1","UNIPOLAR DEPRESSION"
"Tioguanine","IMPDH1","UNIPOLAR DEPRESSION"
"6-Chloropurine Riboside, 5'-Monophosphate","IMPDH1","UNIPOLAR DEPRESSION"
"NADH","IMPDH1","UNIPOLAR DEPRESSION"
"Taribavirin","IMPDH1","UNIPOLAR DEPRESSION"
"VX-148","IMPDH1","UNIPOLAR DEPRESSION"
"Rebetol","IMPDH1","UNIPOLAR DEPRESSION"
"Virazole","IMPDH1","UNIPOLAR DEPRESSION"
"TRIBAVIRIN","IMPDH1","UNIPOLAR DEPRESSION"
"Copegus","IMPDH1","UNIPOLAR DEPRESSION"
"MENTHOL","INPP5F","PARKINSON'S DISEASE"
"Muirs","INPP5F","PARKINSON'S DISEASE"
"Aquasoothe","INPP5F","PARKINSON'S DISEASE"
"Therapeutic Mineral Ice","INPP5F","PARKINSON'S DISEASE"
"Arjun","INPP5F","PARKINSON'S DISEASE"
"RACEMENTHOL","INPP5F","PARKINSON'S DISEASE"
"FISHERMAN'S FRIEND LOZENGES","INPP5F","PARKINSON'S DISEASE"
"KARVOL","INPP5F","PARKINSON'S DISEASE"
"Aqua-Cool","INPP5F","PARKINSON'S DISEASE"
"DL-Menthol","INPP5F","PARKINSON'S DISEASE"
"TIXYLIX DECONGESTANT INH","INPP5F","PARKINSON'S DISEASE"
"DERMACOOL","INPP5F","PARKINSON'S DISEASE"
"MEGGEZONES","INPP5F","PARKINSON'S DISEASE"
"CATARRH","INPP5F","PARKINSON'S DISEASE"
"VOCALZONE","INPP5F","PARKINSON'S DISEASE"
"Lockets","INPP5F","PARKINSON'S DISEASE"
"HALLS","INPP5F","PARKINSON'S DISEASE"
"CHEMBL1075319","INPP5F","PARKINSON'S DISEASE"
"(S)-camphor","INPP5F","PARKINSON'S DISEASE"
"Camphor","INPP5F","PARKINSON'S DISEASE"
"Tetrahydrocannabivarin","INPP5F","PARKINSON'S DISEASE"
"CHEMBL2321613","KCNK3","UNIPOLAR DEPRESSION"
"DOXAPRAM HYDROCHLORIDE","KCNK3","UNIPOLAR DEPRESSION"
"AHR-619","KCNK3","UNIPOLAR DEPRESSION"
"Stimulexin","KCNK3","UNIPOLAR DEPRESSION"
"Doxapram HCl","KCNK3","UNIPOLAR DEPRESSION"
"Dopram","KCNK3","UNIPOLAR DEPRESSION"
"CHEMBL2321614","KCNK3","UNIPOLAR DEPRESSION"
"Doxapram","KCNK3","UNIPOLAR DEPRESSION"
"CARGLUMIC ACID","MADD","ALZHEIMER'S DISEASE"
"OE-312 (Laboratory-Code-Designation)","MADD","ALZHEIMER'S DISEASE"
"CARBAGLU","MADD","ALZHEIMER'S DISEASE"
"OE 312 (LABORATORY CODE DESIGNATION)","MADD","ALZHEIMER'S DISEASE"
"CHEMBL2362990","MADD","ALZHEIMER'S DISEASE"
"Ammonia","MADD","ALZHEIMER'S DISEASE"
"VALDOXAN","MADD","ALZHEIMER'S DISEASE"
"Ramelteon","MADD","ALZHEIMER'S DISEASE"
"HETLIOZ","MADD","ALZHEIMER'S DISEASE"
"Tasimelteon","MADD","ALZHEIMER'S DISEASE"
"TAK-375","MADD","ALZHEIMER'S DISEASE"
"VEC-162","MADD","ALZHEIMER'S DISEASE"
"Rozerem","MADD","ALZHEIMER'S DISEASE"
"BMS-214778","MADD","ALZHEIMER'S DISEASE"
"Thalidomide ","MEIS2","UNIPOLAR DEPRESSION"
"CHEMBL3833061","MEIS2","UNIPOLAR DEPRESSION"
"IMID-3","MEIS2","UNIPOLAR DEPRESSION"
"Pomalidomide","MEIS2","UNIPOLAR DEPRESSION"
"POMALYST","MEIS2","UNIPOLAR DEPRESSION"
"NORCYNT","NISCH","SCHIZOPHRENIA"
"BE5895","NISCH","SCHIZOPHRENIA"
"FISIOTENS","NISCH","SCHIZOPHRENIA"
"CYNT","NISCH","SCHIZOPHRENIA"
"Normatens","NISCH","SCHIZOPHRENIA"
"BDF5896","NISCH","SCHIZOPHRENIA"
"Nucynt","NISCH","SCHIZOPHRENIA"
"PHYSIOTENS","NISCH","SCHIZOPHRENIA"
"CHEMBL3923","NISCH","SCHIZOPHRENIA"
"Agmatine","NISCH","SCHIZOPHRENIA"
"Tizanidine","NISCH","SCHIZOPHRENIA"
"CHEMBL4409","PDE2A","BIPOLAR DISORDER"
"CHEMBL2363066","PDE2A","BIPOLAR DISORDER"
"TRENTAL 100","PDE2A","BIPOLAR DISORDER"
"BL 191","PDE2A","BIPOLAR DISORDER"
"2-({4-[4-(pyridin-4-ylmethyl)-1H-pyrazol-3-yl]phenoxy}methyl)quinoline","PDE2A","BIPOLAR DISORDER"
"2-{[4-(1-methyl-4-pyridin-4-yl-1H-pyrazol-3-yl)phenoxy]methyl}quinoline","PDE2A","BIPOLAR DISORDER"
"2-{[4-(4-pyridin-4-yl-1H-pyrazol-3-yl)phenoxy]methyl}quinoline","PDE2A","BIPOLAR DISORDER"
"4,5-bis(4-methoxyphenyl)-2-thiophen-2-yl-1H-imidazole","PDE2A","BIPOLAR DISORDER"
"6,7-DIMETHOXY-4-[(3R)-3-(2-NAPHTHYLOXY)PYRROLIDIN-1-YL]QUINAZOLINE","PDE2A","BIPOLAR DISORDER"
"6,7-DIMETHOXY-4-[(3R)-3-(QUINOXALIN-2-YLOXY)PYRROLIDIN-1-YL]QUINAZOLINE","PDE2A","BIPOLAR DISORDER"
"Papaverine","PDE2A","BIPOLAR DISORDER"
"Tofisopam","PDE2A","BIPOLAR DISORDER"
"Triflusal","PDE2A","BIPOLAR DISORDER"
"3-isobutyl-1-methyl-7H-xanthine","PDE2A","BIPOLAR DISORDER"
"5-ethoxy-4-(1-methyl-7-oxo-3-propyl-6,7-dihydro-1H-pyrazolo[4,3-d]pyrimidin-5-yl)thiophene-2-sulfonamide","PDE2A","BIPOLAR DISORDER"
"Avanafil","PDE2A","BIPOLAR DISORDER"
"Gamma-Glutamyl[S-(2-Iodobenzyl)Cysteinyl]Glycine","PDE2A","BIPOLAR DISORDER"
"Guanosine-5'-Monophosphate","PDE2A","BIPOLAR DISORDER"
"Molsidomine","PDE2A","BIPOLAR DISORDER"
"OSI-461","PDE2A","BIPOLAR DISORDER"
"Udenafil","PDE2A","BIPOLAR DISORDER"
"Vardenafil","PDE2A","BIPOLAR DISORDER"
"SPEDRA","PDE2A","BIPOLAR DISORDER"
"Levitra","PDE2A","BIPOLAR DISORDER"
"VIZARSIN","PDE2A","BIPOLAR DISORDER"
"Stendra","PDE2A","BIPOLAR DISORDER"
"TA-1790","PDE2A","BIPOLAR DISORDER"
"Cialis","PDE2A","BIPOLAR DISORDER"
"REVATIO","PDE2A","BIPOLAR DISORDER"
"DA-8159","PDE2A","BIPOLAR DISORDER"
"BYK-20869","PDE4A","BIPOLAR DISORDER"
"FLAVOXATE","PDE4A","BIPOLAR DISORDER"
"BY-217","PDE4A","BIPOLAR DISORDER"
"Eucrisa","PDE4A","BIPOLAR DISORDER"
"NEOTHYLLINE","PDE4A","BIPOLAR DISORDER"
"DAXAS","PDE4A","BIPOLAR DISORDER"
"Otezla","PDE4A","BIPOLAR DISORDER"
"CHX 3673","PDE4A","BIPOLAR DISORDER"
"Diprophylline","PDE4A","BIPOLAR DISORDER"
"Aphthasol","PDE4A","BIPOLAR DISORDER"
"GLYPHYLLINE","PDE4A","BIPOLAR DISORDER"
"AN2728","PDE4A","BIPOLAR DISORDER"
"CC-10004","PDE4A","BIPOLAR DISORDER"
"Crisaborole","PDE4A","BIPOLAR DISORDER"
"Apremilast","PDE4A","BIPOLAR DISORDER"
"DILOR-400","PDE4A","BIPOLAR DISORDER"
"Lufyllin","PDE4A","BIPOLAR DISORDER"
"Dilor","PDE4A","BIPOLAR DISORDER"
"AA-673","PDE4A","BIPOLAR DISORDER"
"CHEMBL2842","PDE6A","BIPOLAR DISORDER"
"AP-23573","PDE6A","BIPOLAR DISORDER"
"GDC-0349","PDE6A","BIPOLAR DISORDER"
"RG-7603","PDE6A","BIPOLAR DISORDER"
"Palomid-529","PDE6A","BIPOLAR DISORDER"
"P-529","PDE6A","BIPOLAR DISORDER"
"Pexid","PDE6A","BIPOLAR DISORDER"
"Perhexiline Maleate","PDE6A","BIPOLAR DISORDER"
"PEXSIG","PDE6A","BIPOLAR DISORDER"
"PWT-33579","PDE6A","BIPOLAR DISORDER"
"CC-115","PDE6A","BIPOLAR DISORDER"
"AP1903","PDE6A","BIPOLAR DISORDER"
"Pimecrolimus","PDE6A","BIPOLAR DISORDER"
"Perhexiline","PDE6A","BIPOLAR DISORDER"
"REGN-2176","PDGFRB","ALZHEIMER'S DISEASE"
"Rinucumab","PDGFRB","ALZHEIMER'S DISEASE"
"CHEMBL3108633","PDGFRB","ALZHEIMER'S DISEASE"
"Fovista","PDGFRB","ALZHEIMER'S DISEASE"
"Pegpleranib sodium","PDGFRB","ALZHEIMER'S DISEASE"
"X01E","PDGFRB","ALZHEIMER'S DISEASE"
"E01AJ","PDGFRB","ALZHEIMER'S DISEASE"
"E10030","PDGFRB","ALZHEIMER'S DISEASE"
"CEP-2563","PDGFRB","ALZHEIMER'S DISEASE"
"CHEMBL1974","PDGFRB","ALZHEIMER'S DISEASE"
"Sorafenib tosylate","PDGFRB","ALZHEIMER'S DISEASE"
"BAY-54-9085","PDGFRB","ALZHEIMER'S DISEASE"
"NEXAVAR","PDGFRB","ALZHEIMER'S DISEASE"
"BAY 54-9085","PDGFRB","ALZHEIMER'S DISEASE"
"AST-487","PDGFRB","ALZHEIMER'S DISEASE"
"NVP-AST487","PDGFRB","ALZHEIMER'S DISEASE"
"AKN-028","PDGFRB","ALZHEIMER'S DISEASE"
"SP-924","PDGFRB","ALZHEIMER'S DISEASE"
"IMC-EB10","PDGFRB","ALZHEIMER'S DISEASE"
"AS-602868","PDGFRB","ALZHEIMER'S DISEASE"
"SPC-839","PDGFRB","ALZHEIMER'S DISEASE"
"Symadex","PDGFRB","ALZHEIMER'S DISEASE"
"C-1311","PDGFRB","ALZHEIMER'S DISEASE"
"Pegpleranib","PDGFRB","ALZHEIMER'S DISEASE"
"TG-100801","PDGFRB","ALZHEIMER'S DISEASE"
"REGRANEX","PDGFRB","ALZHEIMER'S DISEASE"
"CL 14377","PDGFRB","ALZHEIMER'S DISEASE"
"Methotrexate","PDGFRB","ALZHEIMER'S DISEASE"
"DACOGEN","PDGFRB","ALZHEIMER'S DISEASE"
"PEVONEDISTAT","PDGFRB","ALZHEIMER'S DISEASE"
"REVLIMID","PDGFRB","ALZHEIMER'S DISEASE"
"RASUVO","PDGFRB","ALZHEIMER'S DISEASE"
"Altiratinib","PDGFRB","ALZHEIMER'S DISEASE"
"Fimepinostat","PDGFRB","ALZHEIMER'S DISEASE"
"L-2329","PICALM","ALZHEIMER'S DISEASE"
"Benziodarone","PICALM","ALZHEIMER'S DISEASE"
"CHEMBL6093","PICALM","ALZHEIMER'S DISEASE"
"B-436","PICALM","ALZHEIMER'S DISEASE"
"Prenylamine Lactate","PICALM","ALZHEIMER'S DISEASE"
"Prenylamine","PICALM","ALZHEIMER'S DISEASE"
"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE","PICALM","ALZHEIMER'S DISEASE"
"2-Methyl-2-Propanol","PICALM","ALZHEIMER'S DISEASE"
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine","PICALM","ALZHEIMER'S DISEASE"
"Aprindine","PICALM","ALZHEIMER'S DISEASE"
"Calcium levulinate","PICALM","ALZHEIMER'S DISEASE"
"Cinchocaine","PICALM","ALZHEIMER'S DISEASE"
"Melatonin","PICALM","ALZHEIMER'S DISEASE"
"N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide","PICALM","ALZHEIMER'S DISEASE"
"N-Trimethyllysine","PICALM","ALZHEIMER'S DISEASE"
"Perphenazine","PICALM","ALZHEIMER'S DISEASE"
"Phenoxybenzamine","PICALM","ALZHEIMER'S DISEASE"
"Pimozide","PICALM","ALZHEIMER'S DISEASE"
"Promethazine","PICALM","ALZHEIMER'S DISEASE"
"Trifluoperazine","PICALM","ALZHEIMER'S DISEASE"
"HGP-1","PINK1","PARKINSON'S DISEASE"
"LOTEPREDNOL ETABONATE","PINK1","PARKINSON'S DISEASE"
"CDDD 5604","PINK1","PARKINSON'S DISEASE"
"Loteprednol","PINK1","PARKINSON'S DISEASE"
"AIREX","PINK1","PARKINSON'S DISEASE"
"LOTEMAX","PINK1","PARKINSON'S DISEASE"
"P-5604","PINK1","PARKINSON'S DISEASE"
"ALREX","PINK1","PARKINSON'S DISEASE"
"Econopred","PINK1","PARKINSON'S DISEASE"
"Pred Mild","PINK1","PARKINSON'S DISEASE"
"PRED FTE","PINK1","PARKINSON'S DISEASE"
"FLO-PRED","PINK1","PARKINSON'S DISEASE"
"METICORTELONE","PINK1","PARKINSON'S DISEASE"
"Prednisolone Acetate","PINK1","PARKINSON'S DISEASE"
"Ultracortenol","PINK1","PARKINSON'S DISEASE"
"PRED FORTE","PINK1","PARKINSON'S DISEASE"
"OMNIPRED","PINK1","PARKINSON'S DISEASE"
"CHEMBL2363042","POLA1","PARKINSON'S DISEASE"
"GEMZAR","POLA1","PARKINSON'S DISEASE"
"GEMCITABINE HYDROCHLORIDE","POLA1","PARKINSON'S DISEASE"
"Gemcitabine HCl","POLA1","PARKINSON'S DISEASE"
"Depocyte","POLA1","PARKINSON'S DISEASE"
"Alexan","POLA1","PARKINSON'S DISEASE"
"Oforta","POLA1","PARKINSON'S DISEASE"
"CLOLAR","POLA1","PARKINSON'S DISEASE"
"EVOLTRA","POLA1","PARKINSON'S DISEASE"
"Cladribine","POLA1","PARKINSON'S DISEASE"
"Nelarabine","POLA1","PARKINSON'S DISEASE"
"CHEMBL3024","POLE3","PARKINSON'S DISEASE"
"Volasertib","POLE3","PARKINSON'S DISEASE"
"GSK-461364","POLE3","PARKINSON'S DISEASE"
"GSK-461364A","POLE3","PARKINSON'S DISEASE"
"IVX-214","POLE3","PARKINSON'S DISEASE"
"HMN-214","POLE3","PARKINSON'S DISEASE"
"TAK-960","POLE3","PARKINSON'S DISEASE"
"1-[5-methyl-2-(trifluoromethyl)furan-3-yl]-3-[(2Z)-5-(2-{[6-(1H-1,2,4-triazol-3-ylamino)pyrimidin-4-yl]amino}ethyl)-1,3-thiazol-2(3H)-ylidene]urea","POLE3","PARKINSON'S DISEASE"
"3-[3-(3-methyl-6-{[(1S)-1-phenylethyl]amino}-1H-pyrazolo[4,3-c]pyridin-1-yl)phenyl]propanamide","POLE3","PARKINSON'S DISEASE"
"3-[3-chloro-5-(5-{[(1S)-1-phenylethyl]amino}isoxazolo[5,4-c]pyridin-3-yl)phenyl]propan-1-ol","POLE3","PARKINSON'S DISEASE"
"4-(4-METHYLPIPERAZIN-1-YL)-N-[5-(2-THIENYLACETYL)-1,5-DIHYDROPYRROLO[3,4-C]PYRAZOL-3-YL]BENZAMIDE","POLE3","PARKINSON'S DISEASE"
"Defactinib","PTK2B","ALZHEIMER'S DISEASE"
"CHEMBL5469","PTK2B","ALZHEIMER'S DISEASE"
"GSK-2256098","PTK2B","ALZHEIMER'S DISEASE"
"CHEMBL2695","PTK2B","ALZHEIMER'S DISEASE"
"PF-562271","PTK2B","ALZHEIMER'S DISEASE"
"PF-00562271","PTK2B","ALZHEIMER'S DISEASE"
"VS-4718","PTK2B","ALZHEIMER'S DISEASE"
"CHEMBL258","PTK2B","ALZHEIMER'S DISEASE"
"AMG-780","PTK2B","ALZHEIMER'S DISEASE"
"CHEMBL3217395","PTK2B","ALZHEIMER'S DISEASE"
"Trebananib","PTK2B","ALZHEIMER'S DISEASE"
"APD334","PTK2B","ALZHEIMER'S DISEASE"
"Etrasimod","PTK2B","ALZHEIMER'S DISEASE"
"CHEMBL4333","PTK2B","ALZHEIMER'S DISEASE"
"ACT-128800","PTK2B","ALZHEIMER'S DISEASE"
"Ponesimod","PTK2B","ALZHEIMER'S DISEASE"
"BAF-312","PTK2B","ALZHEIMER'S DISEASE"
"Siponimod","PTK2B","ALZHEIMER'S DISEASE"
"KRP-203","PTK2B","ALZHEIMER'S DISEASE"
"ALTIRATINIB","PTK2B","ALZHEIMER'S DISEASE"
"CHEMBL4128","PTK2B","ALZHEIMER'S DISEASE"
"CE-245677","PTK2B","ALZHEIMER'S DISEASE"
"4-{[4-{[(1R,2R)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-N-methylbenzenesulfonamide","PTK2B","ALZHEIMER'S DISEASE"
"Baricitinib","PTK2B","ALZHEIMER'S DISEASE"
"2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE","PTK2B","ALZHEIMER'S DISEASE"
"7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE","PTK2B","ALZHEIMER'S DISEASE"
"Endostatin","PTK2B","ALZHEIMER'S DISEASE"
"2,3-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-B]PYRIDIN-4-AMINE","PTK2B","ALZHEIMER'S DISEASE"
"3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE","PTK2B","ALZHEIMER'S DISEASE"
"5,6-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-D]PYRIMIDIN-4-AMINE","PTK2B","ALZHEIMER'S DISEASE"
"N-(2,6-dimethylphenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine","PTK2B","ALZHEIMER'S DISEASE"
"N-(2-chloro-6-methylphenyl)-8-[(3S)-3-methylpiperazin-1-yl]imidazo[1,5-a]quinoxalin-4-amine","PTK2B","ALZHEIMER'S DISEASE"
"N-(2-chlorophenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine","PTK2B","ALZHEIMER'S DISEASE"
"{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid","PTK2B","ALZHEIMER'S DISEASE"
"{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid","PTK2B","ALZHEIMER'S DISEASE"
"Asfotase alfa","PTK2B","ALZHEIMER'S DISEASE"
"Ampicillin","PTK2B","ALZHEIMER'S DISEASE"
"N-{4-METHYL-3-[(3-PYRIMIDIN-4-YLPYRIDIN-2-YL)AMINO]PHENYL}-3-(TRIFLUOROMETHYL)BENZAMIDE","PTK2B","ALZHEIMER'S DISEASE"
"AME-133V","PTK2B","ALZHEIMER'S DISEASE"
"Xiidra","PTK2B","ALZHEIMER'S DISEASE"
"SAR 1118","PTK2B","ALZHEIMER'S DISEASE"
"Lifitegrast","PTK2B","ALZHEIMER'S DISEASE"
"LY-2469298","PTK2B","ALZHEIMER'S DISEASE"
"XL-820","PTK2B","ALZHEIMER'S DISEASE"
"AF802","PTK2B","ALZHEIMER'S DISEASE"
"2240442","PTK2B","ALZHEIMER'S DISEASE"
"Amiselimod","PTK2B","ALZHEIMER'S DISEASE"
"CHEMBL2363052","PTN","SCHIZOPHRENIA"
"PENTHRANE","PTN","SCHIZOPHRENIA"
"Atropine","PTN","SCHIZOPHRENIA"
"D-Serine","PTN","SCHIZOPHRENIA"
"GW 468816","PTN","SCHIZOPHRENIA"
"Lindane","PTN","SCHIZOPHRENIA"
"Picrotoxin","PTN","SCHIZOPHRENIA"
"Seletracetam","PTN","SCHIZOPHRENIA"
"ZYKADIA","PTN","SCHIZOPHRENIA"
"CERITINIB","PTN","SCHIZOPHRENIA"
"Xalkori","PTN","SCHIZOPHRENIA"
"NKTR-118 OXALATE","RGS4","SCHIZOPHRENIA"
"NKTR-118-oxalate","RGS4","SCHIZOPHRENIA"
"NALOXEGOL OXALATE","RGS4","SCHIZOPHRENIA"
"MOVANTIK","RGS4","SCHIZOPHRENIA"
"AZ13337019 OXALATE","RGS4","SCHIZOPHRENIA"
"CHEMBL233","RGS4","SCHIZOPHRENIA"
"Leritine","RGS4","SCHIZOPHRENIA"
"Anileridine HCl","RGS4","SCHIZOPHRENIA"
"ANILERIDINE HYDROCHLORIDE","RGS4","SCHIZOPHRENIA"
"CB5-945","RGS4","SCHIZOPHRENIA"
"BEVENOPRAN","RGS4","SCHIZOPHRENIA"
"Spasmodlin","RGS4","SCHIZOPHRENIA"
"MEPERIDINE HYDROCHLORIDE","RGS4","SCHIZOPHRENIA"
"DEMEROL","RGS4","SCHIZOPHRENIA"
"MEPERIDINE HYDROCHLORIDE PRESERVATIVE FREE","RGS4","SCHIZOPHRENIA"
"Meperidine HCl","RGS4","SCHIZOPHRENIA"
"PETHILORFAN","RGS4","SCHIZOPHRENIA"
"Pethidine","RGS4","SCHIZOPHRENIA"
"PETHIDINE HYDROCHLORIDE","RGS4","SCHIZOPHRENIA"
"Pethidine HCl","RGS4","SCHIZOPHRENIA"
"Pamergan","RGS4","SCHIZOPHRENIA"
"Levallorphan Tartrate","RGS4","SCHIZOPHRENIA"
"Lorfan","RGS4","SCHIZOPHRENIA"
"NALOXIPHANE TARTRATE","RGS4","SCHIZOPHRENIA"
"Sufentanil Citrate","RGS4","SCHIZOPHRENIA"
"Sufenta preservative free","RGS4","SCHIZOPHRENIA"
"Sufenta","RGS4","SCHIZOPHRENIA"
"R 33800","RGS4","SCHIZOPHRENIA"
"Sufental","RGS4","SCHIZOPHRENIA"
"NIH 8805","RGS4","SCHIZOPHRENIA"
"Probuphine","RGS4","SCHIZOPHRENIA"
"BUPRENORPHINE HYDROCHLORIDE","RGS4","SCHIZOPHRENIA"
"Belbuca","RGS4","SCHIZOPHRENIA"
"Natzon","RGS4","SCHIZOPHRENIA"
"CL-112302","RGS4","SCHIZOPHRENIA"
"U- 952","RGS4","SCHIZOPHRENIA"
"BUPRENEX","RGS4","SCHIZOPHRENIA"
"PREFIBIN","RGS4","SCHIZOPHRENIA"
"SUBUTEX","RGS4","SCHIZOPHRENIA"
"GABUP","RGS4","SCHIZOPHRENIA"
"UM 952","RGS4","SCHIZOPHRENIA"
"RX 6029-M HCL","RGS4","SCHIZOPHRENIA"
"RX-6029M HCl","RGS4","SCHIZOPHRENIA"
"Espranor","RGS4","SCHIZOPHRENIA"
"Buprenorphine HCl","RGS4","SCHIZOPHRENIA"
"CL 112,302","RGS4","SCHIZOPHRENIA"
"SPD-759","RGS4","SCHIZOPHRENIA"
"Frakefamide","RGS4","SCHIZOPHRENIA"
"LEF-576","RGS4","SCHIZOPHRENIA"
"BCH-3963","RGS4","SCHIZOPHRENIA"
"Morphabond ER","RGS4","SCHIZOPHRENIA"
"Astramorph Pf","RGS4","SCHIZOPHRENIA"
"RHOTARD","RGS4","SCHIZOPHRENIA"
"Ms Contin","RGS4","SCHIZOPHRENIA"
"Morphabond","RGS4","SCHIZOPHRENIA"
"Duromorph","RGS4","SCHIZOPHRENIA"
"Morphine Sulfate","RGS4","SCHIZOPHRENIA"
"ORAMORPH","RGS4","SCHIZOPHRENIA"
"ARYMO ER","RGS4","SCHIZOPHRENIA"
"SRM-RHOTARD","RGS4","SCHIZOPHRENIA"
"FILNARINE SR","RGS4","SCHIZOPHRENIA"
"MORPHGESIC SR","RGS4","SCHIZOPHRENIA"
"MORAXEN","RGS4","SCHIZOPHRENIA"
"ORAMORPH UDV","RGS4","SCHIZOPHRENIA"
"Sevredol","RGS4","SCHIZOPHRENIA"
"Duramorph","RGS4","SCHIZOPHRENIA"
"Mst Continus","RGS4","SCHIZOPHRENIA"
"DEPODUR","RGS4","SCHIZOPHRENIA"
"Oramorph Sr","RGS4","SCHIZOPHRENIA"
"Zomorph","RGS4","SCHIZOPHRENIA"
"Duramorph Pf","RGS4","SCHIZOPHRENIA"
"Morcap SR","RGS4","SCHIZOPHRENIA"
"LAAM","RGS4","SCHIZOPHRENIA"
"MK790","RGS4","SCHIZOPHRENIA"
"ORLAAM","RGS4","SCHIZOPHRENIA"
"Levomethadyl Acetate HCl","RGS4","SCHIZOPHRENIA"
"LEVOMETHADYL ACETATE HYDROCHLORIDE","RGS4","SCHIZOPHRENIA"
"Dromadol XL","RGS4","SCHIZOPHRENIA"
"ZAMADOL 24HR","RGS4","SCHIZOPHRENIA"
"Ryzolt","RGS4","SCHIZOPHRENIA"
"Dromadol SR","RGS4","SCHIZOPHRENIA"
"Tramake","RGS4","SCHIZOPHRENIA"
"ZAMADOL","RGS4","SCHIZOPHRENIA"
"Zydol XL","RGS4","SCHIZOPHRENIA"
"TRAMACET","RGS4","SCHIZOPHRENIA"
"Zydol SR","RGS4","SCHIZOPHRENIA"
"NOBLIGAN RET","RGS4","SCHIZOPHRENIA"
"Zamadol Melt","RGS4","SCHIZOPHRENIA"
"TILODOL SR","RGS4","SCHIZOPHRENIA"
"Zamadol SR","RGS4","SCHIZOPHRENIA"
"Tramulief SR","RGS4","SCHIZOPHRENIA"
"Tradorec XL","RGS4","SCHIZOPHRENIA"
"Aceon","RGS4","SCHIZOPHRENIA"
"MANEO","RGS4","SCHIZOPHRENIA"
"INVODOL SR","RGS4","SCHIZOPHRENIA"
"MAROL","RGS4","SCHIZOPHRENIA"
"Tramadol HCl","RGS4","SCHIZOPHRENIA"
"LARAPAM SR","RGS4","SCHIZOPHRENIA"
"Oldaram","RGS4","SCHIZOPHRENIA"
"TRAMADOL HYDROCHLORIDE","RGS4","SCHIZOPHRENIA"
"CG-315E","RGS4","SCHIZOPHRENIA"
"Zeridame SR","RGS4","SCHIZOPHRENIA"
"ZYDOL","RGS4","SCHIZOPHRENIA"
"TRAMAKE INSTS","RGS4","SCHIZOPHRENIA"
"Ultram Er","RGS4","SCHIZOPHRENIA"
"Conzip","RGS4","SCHIZOPHRENIA"
"Mabron","RGS4","SCHIZOPHRENIA"
"U-26225A","RGS4","SCHIZOPHRENIA"
